birth,death,lifetime,tipF,endF,tipX,tipY,endX,endY,root_geodesic
0.0,4505.749390514104,4505.749390514104,3495085,1483155,4297,812,0,345,4505.749390514104
3857.6096068663987,3870.4033313685513,12.7937245021526,2923863,2932475,543,680,557,682,648.139783647705
3521.520869708664,3541.429855053285,19.90898534462076,1806345,1896629,765,420,770,441,984.2285208054394
3484.3330449606997,3496.460033162366,12.126988201666336,2051330,1969659,707,477,717,458,1021.416345553404
3408.420679194185,3449.949930252523,41.52925105833765,2421243,2520078,906,563,864,586,1097.3287113199185
1638.7260149175613,3443.1398084575885,1804.4137935400272,6717108,2159075,2070,1562,977,502,2867.0233755965423
3308.0375169288236,3407.613536663639,99.57601973481542,2593368,2421309,1071,603,972,563,1197.7118735852803
3296.497291867916,3393.159733523463,96.6624416555469,1157148,1445234,717,269,770,336,1209.252098646188
3259.629087444353,3381.8455094248056,122.21642198045265,2889898,2558851,970,672,946,595,1246.1203030697504
3193.501979231093,3380.182560530033,186.68058129893961,3405533,2790878,725,792,827,649,1312.2474112830105
3346.0621157532973,3360.242042265184,14.179926511886606,2687788,2760856,913,625,898,642,1159.6872747608063
3337.318653003052,3347.378603042846,10.059950039793875,2971430,2941345,821,691,829,684,1168.4307375110516
3308.778840658384,3329.058615392112,20.279774733728118,1208750,1290421,731,281,721,300,1196.9705498557194
3169.2427466938634,3287.6928314336774,118.45008473981397,3625008,3160670,951,843,905,735,1336.5066438202402
3260.5441263949715,3273.016559062933,12.472432667961584,2872704,2851198,972,668,961,663,1245.2052641191322
3152.596011865192,3250.353069065921,97.75705720072892,533913,895031,837,124,839,208,1353.1533786489115
3218.470266728416,3240.644093003969,22.173826275552983,933908,856508,1025,217,1007,199,1287.2791237856877
3187.5339217418127,3232.762441706006,45.22851996419331,796214,718885,899,185,952,167,1318.215468772291
3162.271588048802,3200.056758517557,37.785170468754586,585697,628649,1033,136,995,146,1343.4778024653015
3179.803317901201,3189.803399347419,10.000081446218246,641408,667200,857,149,855,155,1325.9460726129028
3134.1433571543585,3145.6397685249703,11.496411370611895,392238,426625,1029,91,1024,99,1371.606033359745
3109.9727801787103,3140.215733531608,30.24295335289753,1879913,1750942,1250,437,1249,407,1395.7766103353931
3112.3953885846604,3135.4709242028957,23.075535618235335,1462923,1557491,1263,340,1253,362,1393.354001929443
3026.0492165880073,3116.823174999978,90.77395841197085,130033,482580,1063,30,1092,112,1479.7001739260963
3087.647077454692,3113.5487376756837,25.901660220991744,534128,482566,1052,124,1078,112,1418.1023130594117
3077.931922312784,3110.6812005672145,32.749278254430465,1591945,1652099,1315,370,1283,384,1427.8174682013193
2964.067733844386,3000.247176087856,36.17944224347002,654771,538654,1323,152,1279,125,1541.6816566697175
2970.8820905223392,2987.702927970994,16.820837448654856,534384,620362,1308,124,1306,144,1534.8672999917646
2921.428898145282,2974.292459915791,52.86356177050902,530099,749378,1322,123,1352,174,1584.3204923688218
2818.7962282603207,2963.8086854706767,145.01245721035593,3710996,4360153,959,863,967,1014,1686.953162253783
2680.1141442360004,2958.084908660433,277.9707644244327,5421852,4428934,813,1261,964,1030,1825.6352462781033
2843.1486325886153,2912.876747833998,69.72811524538247,18550,336676,1354,4,1354,78,1662.6007579254883
2876.888272785741,2892.3276526239424,15.439379838201603,500098,478579,1414,116,1390,111,1628.8611177283628
2830.4792184346816,2879.5044967990893,49.02527836440777,1071970,1059025,1519,249,1471,246,1675.270172079422
2862.4695926087634,2874.833621752967,12.364029144203414,1635101,1678100,1481,380,1490,390,1643.2797979053403
2847.382596062541,2871.4766061400214,24.09401007748056,1059057,1071930,1503,246,1479,249,1658.3667944515628
2848.593827236068,2869.417490981282,20.823663745213707,4691262,4626764,1053,1091,1040,1076,1657.1555632780357
2854.8743801812434,2868.835334817496,13.960954636252609,942966,968753,1485,219,1478,225,1650.8750103328605
2838.999283428144,2864.5843042130864,25.58502078494257,1656642,1695309,1527,385,1503,394,1666.75010708596
2819.173076243811,2829.638428571324,10.465352327512846,728050,749536,1519,169,1510,174,1686.5763142702926
2792.84510457134,2817.1515267615164,24.306422190176363,2103747,2146756,1536,489,1555,499,1712.9042859427636
2764.0606832226986,2778.679103281511,14.618420058812262,852755,796873,1553,198,1558,185,1741.6887072914053
2681.7189287967267,2765.1072504673584,83.38832167063174,1798571,2159706,1589,418,1608,502,1824.0304617173772
2675.7014103355696,2762.4941567781807,86.79274644261113,2580960,2258582,1560,600,1607,525,1830.0479801785343
2742.4142336115356,2756.4479454217144,14.03371181017883,362630,448621,1514,84,1525,104,1763.335156902568
2728.6473527445883,2744.684063013632,16.03671026904385,513133,569040,1552,119,1572,132,1777.1020377695154
2709.521486990725,2739.190683912765,29.6691969220401,861383,732426,1583,200,1596,170,1796.2279035233785
2641.1446729450217,2692.9279074141555,51.78323446913373,1923323,1695471,1670,447,1665,394,1864.6047175690817
2529.1062010519763,2692.518160013763,163.4119589617867,10320,508913,1722,2,1631,118,1976.6431894621273
2523.0481447665197,2691.5949881839397,168.54684341741995,225318,723879,1770,52,1647,168,1982.7012457475842
2659.214605552082,2689.5554832992298,30.340877747147715,1802963,1682581,1682,419,1672,391,1846.5347849620216
2674.0026173339784,2686.509159067574,12.50654173359544,586303,659392,1639,136,1645,153,1831.7467731801253
2620.3725356614286,2686.4666940773823,66.09415841595364,848482,1033341,1579,197,1581,240,1885.376854852675
2646.6000603759567,2676.2068260225255,29.606765646568874,913001,878644,1613,212,1648,204,1859.1493301381472
2624.149708834763,2665.7823830967345,41.632674261971715,1226756,1033315,1541,285,1555,240,1881.5996816793408
2649.4643546665866,2665.6089738090004,16.14461914241383,908678,964573,1589,211,1597,224,1856.2850358475168
2644.6211251686195,2663.159671326944,18.538546158324607,1071987,1050507,1536,249,1551,244,1861.1282653454841
2637.372769789474,2654.655733645536,17.282963856061997,5125639,5039662,1231,1192,1234,1172,1868.3766207246294
2444.5389188701542,2643.5948769922807,199.0559581221264,135070,852891,1801,31,1689,198,2061.2104716439494
2603.8306329212055,2627.3296658964828,23.49903297527726,2284532,2258720,1763,531,1745,525,1901.918757592898
1531.0928098960935,2624.115127299804,1093.0223174037105,1932914,1609566,2663,449,1740,374,2974.65658061801
2609.3271509616643,2620.0885123098233,10.761361348158971,1063549,1003364,1696,247,1697,233,1896.4222395524391
2474.204559759603,2607.4327365633053,133.22817680370235,2232970,1738550,1789,519,1754,404,2031.5448307545007
2589.992047982244,2605.3094069929152,15.317359010671225,1527916,1506405,1771,355,1755,350,1915.7573425318599
2562.4623743575194,2584.071469126213,21.609094768693467,1940609,1871819,1760,451,1754,435,1943.2870161565845
2547.6112258260337,2576.071688773158,28.460462947124142,2297438,2349042,1772,534,1788,546,1958.13816468807
2549.1014539668877,2567.7074392080794,18.605985241191775,2598372,2512398,1776,604,1782,584,1956.6479365472162
2546.7502254540077,2561.7822089826786,15.031983528670935,1072152,1132380,1701,249,1743,263,1958.999165060096
2530.685574454101,2561.510667151399,30.82509269729826,1239871,1119490,1759,288,1750,260,1975.0638160600029
2496.5335994221496,2550.8841877955947,54.350588373445134,2697306,2495227,1833,627,1807,580,2009.2157910919539
2532.883404868882,2544.540752093486,11.65734722460411,5173042,5104259,1345,1203,1346,1187,1972.8659856452218
2498.772580042284,2522.4875283102,23.714948267916043,956191,1046457,1813,222,1800,243,2006.9768104718196
2509.5402554753746,2522.216276937157,12.676021461782511,1906292,1893384,1835,443,1824,440,1996.2091350387288
2459.9032723188902,2505.8889857096597,45.98571339076943,2241571,2271722,1792,521,1850,528,2045.8461181952136
2418.404525989618,2486.634047045057,68.22952105543891,1485079,1712879,1924,345,1877,398,2087.3448645244857
2464.088805518654,2480.1657804424603,16.07697492380612,2151314,2245890,1814,500,1812,522,2041.6605849954492
2210.462069638155,2470.7938807805876,260.3318111424328,2624533,2357745,2143,610,1893,548,2295.287320875949
2380.7681539687724,2425.3442046085675,44.576050639795085,2491100,2426572,1979,579,1936,564,2124.9812365453313
2405.3375782312687,2415.9109766602523,10.573398428983637,1738747,1777433,1951,404,1946,413,2100.411812282835
2388.9258300821366,2411.7634257336313,22.837595651494667,2069717,2129936,1898,481,1931,495,2116.823560431967
2391.020243792232,2409.145741399255,18.12549760702268,2035346,2117024,1919,473,1916,492,2114.7291467218715
2379.5554437434935,2395.9529232402388,16.39747949674529,2026783,1910717,1954,471,1961,444,2126.19394677061
2362.564140748345,2372.748275171212,10.184134422866919,1588292,1532404,1961,369,1960,356,2143.1852497657587
2337.7462521833913,2354.887938489801,17.14168630640961,2035424,1945149,1997,473,2001,452,2168.0031383307123
2315.641937643074,2332.4242253892035,16.78228774612944,2529809,2521231,1997,588,2017,586,2190.1074528710296
2316.9060345451594,2329.9600747882023,13.054040243042891,2525554,2542735,2041,587,2026,591,2188.8433559689443
2308.3656730044895,2321.913439578947,13.547766574457455,2594344,2577135,2047,603,2034,599,2197.383717509614
2268.455915439061,2284.139565318373,15.68364987931227,1351950,1274570,2064,314,2066,296,2237.293475075043
2208.2959830768923,2275.2739541302617,66.9779710533694,2422375,2031204,2038,563,2076,472,2297.4534074372114
2213.748441391901,2273.960053598942,60.21161220704107,2263383,2104277,2109,526,2066,489,2292.0009491222027
2227.2602998026455,2265.4389499876393,38.178650184993785,1614220,1880758,2095,375,2095,437,2278.489090711458
2221.880646612055,2251.166657313438,29.28601070138302,2117228,2009737,2120,492,2104,467,2283.8687439020487
2238.528284383786,2251.0518929742893,12.5236085905035,1738891,1790478,2095,404,2094,416,2267.221106130318
2220.511910705035,2248.0329370275144,27.52102632247943,1042452,1171429,2094,242,2101,272,2285.2374798090686
2217.9643217128846,2232.3870288646876,14.422707151803024,2598733,2598718,2137,604,2122,604,2287.785068801219
2173.129511897534,2227.0099187884916,53.8804068909576,1670157,1893691,2145,388,2131,440,2332.6198786165696
2176.766140810156,2193.8883565986102,17.12221578845447,1055410,1115593,2155,245,2152,259,2328.983249703948
2143.377452888297,2157.270174555824,13.892721667526985,1038252,1119931,2193,241,2191,260,2362.371937625807
2132.8400164626632,2152.3399184069326,19.499901944269368,1261772,1253197,2165,293,2188,291,2372.9093740514404
1964.7161566891737,2148.826112757704,184.1099560685302,2865359,2087220,2225,666,2205,485,2541.03323382493
2064.764490864765,2107.4915269210387,42.727036056273846,1945440,1996987,2292,452,2251,464,2440.984899649339
2086.9454653388507,2099.238042304576,12.292576965725402,1089897,1150083,2250,253,2250,267,2418.803925175253
2064.6294226374316,2084.4102115088644,19.780788871432833,2254938,2143170,2262,524,2268,498,2441.119967876672
2007.5968258004077,2078.897644877821,71.30081907741351,2074252,2396730,2134,482,2187,557,2498.152564713696
1896.841566038911,2071.5430575689047,174.70149152999375,2904113,2147482,2288,675,2281,499,2608.9078244751927
2041.8032174293967,2060.7344851946027,18.93126776520603,2224731,2246246,2148,517,2168,522,2463.946173084707
2016.8096661727905,2054.956095370705,38.146429197914586,1046976,1180221,2319,243,2295,274,2488.939724341313
1945.1536181971023,1996.7413581730302,51.58773997592789,1846639,2083076,2368,429,2360,484,2560.5957723170013
1959.7758494753784,1990.800510764674,31.024661289295636,1137312,1244770,2376,264,2359,289,2545.973541038725
1933.5259763499039,1961.3446409194858,27.81866456958187,1184628,1274892,2403,275,2388,296,2572.2234141641998
1895.2130358338454,1925.1772378397031,29.964202005857715,1227657,1326515,2442,285,2423,308,2610.5363546802582
1838.208484870202,1858.8349021278568,20.626417257654794,2530291,2427117,2479,588,2481,564,2667.5409056439016
1710.402952210678,1843.2189197463372,132.81596753565918,1803888,1567329,2607,419,2493,364,2795.3464383034257
1804.6358071196478,1825.614640394222,20.9788332745743,2594803,2495930,2506,603,2510,580,2701.113583394456
1750.4052522336897,1763.2166750487827,12.81142281509301,2465913,2521790,2586,573,2576,586,2755.344138280414
1654.332489371805,1699.1026195351096,44.77013016330466,2977542,2814158,2634,692,2612,654,2851.4169011422987
1661.9433807587407,1683.666395389293,21.72301463055237,2904465,2809879,2640,675,2632,653,2843.806009755363
1611.7896538593009,1622.9567218363513,11.167067977050465,2835744,2766960,2703,659,2703,643,2893.959736654803
1562.8906147312896,1593.7773880568552,30.886773325565628,2096320,2066227,2707,487,2707,480,2942.858775782814
1312.3757288315164,1559.6193056432862,247.2435768117698,3570994,2771323,2824,830,2767,644,3193.373661682587
1543.0560310385363,1553.7323124733693,10.676281434833072,1963042,1950134,2698,456,2687,453,2962.6933594755674
1476.2371560968572,1518.1290958393702,41.89193974251293,2956236,2767066,2823,687,2809,643,3029.5122344172464
1100.0371041792077,1242.6895383866135,142.6524342074058,2161050,2517996,2952,502,3081,585,3405.712286334896
1063.1290641935148,1223.4468083240022,160.31774413048743,2814786,2659884,3240,654,3102,618,3442.620326320589
1041.975206069836,1079.1741875696312,37.19898149979508,2896473,2711617,3246,673,3247,630,3463.7741844442676
1062.405628982779,1075.5767689593008,13.171139976521772,2763189,2767499,3231,642,3242,643,3443.3437615313246
349.80791118691286,360.1539889858668,10.346077798953957,3327047,3314163,3920,773,3933,770,4155.941479327191
