3114,3587
3482,3571
3322,3368
3458,3474
3348,3363
3272,3609
3376,3559
3379,3403
3440,3463
3407,3419
3428,3440
2354,3159
2704,2763
2618,2658
2775,2811
2727,2744
3345,3622
3409,3420
3708,4094
3847,3966
4011,4082
3900,3935
3891,3913
3808,3826
3920,3937
3954,3971
3826,3840
3965,3978
3885,3896
3829,3839
3506,3818
3648,3786
2865,3365
2924,2949
2277,2562
2327,2388
2341,2365
2422,2439
3343,3672
3473,3584
3465,3528
3470,3526
3494,3527
3488,3521
3503,3518
3472,3485
3143,3447
3180,3275
3319,3409
3402,3442
2872,3142
2361,2691
2394,2610
2560,2601
2421,2448
2825,3135
3011,3124
3046,3132
2583,3002
2966,2997
2726,2738
2653,2665
2351,2731
2359,2451
2615,2672
2621,2666
2419,2462
2387,2426
2436,2458
2448,2467
2414,2432
2606,2879
2779,2874
2311,2727
2366,2610
2444,2455
2487,2822
2666,2723
2555,2602
2768,2810
1629,2319
1683,1700
2253,2524
2427,2521
1932,2289
1972,2176
2006,2077
2217,2284
1950,2001
2051,2071
2050,2063
2064,2076
1994,2318
2045,2139
1030,1980
1289,1520
1688,1879
1215,1393
1050,1173
1177,1292
1306,1418
1435,1531
1581,1655
1855,1923
1075,1136
1765,1811
1682,1728
1400,1444
1125,1167
1467,1500
1474,1503
1076,1099
1341,1362
1257,1277
1189,1208
1465,1483
1224,1242
1558,1575
1959,1974
1732,2118
1957,2039
1999,2036
1685,2040
1839,1888
1959,1992
1996,2025
1706,1994
944,1287
1123,1138
753,1187
841,1062
790,962
781,936
939,1064
789,882
811,864
920,941
918,938
809,821
390,749
442,497
1345,1436
1009,1023
1031,1058
1550,1781
1698,1713
1297,1345
1416,1435
1347,1384
1408,1431
1368,1389
1191,1254
1401,1431
1216,1246
1248,1259
1386,1398
1648,1865
1162,1292
1147,1162
1292,1309
1004,1018
1311,1334
1883,1894
1115,1146
1357,1385
1387,1402
1289,1329
1388,1406
1293,1311
1466,1479
1633,1650
1831,1958
1488,1510
1435,1446
1417,1444
1618,1647
1960,2000
1780,1987
1568,1587
1596,1613
1574,1590
1988,2037
1464,1478
1797,1829
1494,1541
1480,1520
1756,1795
1046,1062
1650,1688
1537,1763
1877,1891
1521,1536
1573,1627
1760,1778
1268,1283
1867,1878
2098,2160
2170,2181
1221,1239
1819,1861
1543,1569
2065,2091
2080,2265
2193,2212
1657,1678
1939,1955
2213,2248
1425,1495
1271,1343
1543,1568
2048,2079
1557,1647
1910,1937
1563,1592
1560,1576
1814,1826
2258,2273
1340,1365
1699,1714
1387,1415
1413,1489
1616,1628
1387,1407
1577,1628
1491,1545
1710,1738
2267,2293
1688,1701
1416,1445
1510,1573
1798,1809
1813,1824
1345,1358
1871,1890
1739,1774
1425,1439
1353,1366
1616,1640
1863,1876
1754,1801
1775,1789
1347,1363
1409,1437
1650,1664
1625,1648
1575,1587
1596,1612
1363,1394
1574,1593
1742,1774
1777,1790
1886,1904
1533,1572
1395,1429
1600,1647
1650,1729
1381,1391
2347,2367
1584,1595
1597,1618
1551,1583
2377,2397
1482,1530
1523,1550
1732,1762
1755,1767
2297,2308
2318,2329
2401,2413
2415,2479
1920,1935
2299,2315
1424,1439
1469,1519
1771,1839
1649,1668
1457,1481
1553,1625
1634,1665
1639,1667
2500,2512
1790,1865
1165,1188
1447,1458
1753,1805
1669,1699
1671,1682
1693,1711
2109,2260
1763,1881
2195,2210
2394,2405
2283,2467
1666,1700
1689,1707
2111,2194
1735,1749
1833,1864
1717,1735
1528,1606
2264,2279
1480,1492
1522,1558
1695,1731
1559,1602
1460,1489
1795,1989
1718,1746
2347,2365
1757,1769
1809,1821
2363,2378
1369,1404
1813,1832
1714,1737
1438,1452
1289,1307
1833,1855
1742,1757
1752,1806
1771,1836
1823,1980
1701,1777
1701,1787
2279,2301
1903,1914
1749,1772
1324,1335
1260,1373
1739,1791
1713,1741
1336,1352
1717,1731
1716,1742
1297,1309
1916,1946
2111,2125
1348,1388
1740,1750
2246,2277
1273,1287
1289,1309
1732,1786
1592,1671
1686,1715
2170,2218
1727,1741
1737,1770
1730,1947
2261,2276
1744,1762
1350,1380
1633,1644
1724,1789
1888,1902
1790,1815
1428,1463
1653,1665
1787,1887
2116,2227
1268,1284
1663,1675
1752,1769
1836,1857
1372,1449
1394,1405
1376,1391
1688,1794
1787,1800
2138,2150
1594,1645
1702,1723
1407,1419
1627,1681
1796,1856
2101,2143
1616,1640
1764,1775
1431,1492
1565,1590
1493,1504
1422,1437
1760,1777
1433,1452
2096,2113
1332,1353
1655,1717
1563,1597
1442,1454
1577,1598
1518,1564
1580,1600
1895,1909
2054,2096
1535,1551
1867,2014
1857,1878
1543,1558
1502,1542
1473,1491
1561,1575
1509,1519
1748,1804
2275,2293
2056,2067
1879,1895
1504,1549
2213,2323
1500,1544
1471,1505
1903,1939
1563,1603
1889,1912
1576,1686
1849,1868
1826,1838
1461,1479
2082,2108
1551,1568
1807,1823
1506,1541
1447,1467
2049,2125
1624,1656
1391,1419
1620,1718
1684,1696
1572,1586
1482,1495
1787,1828
2141,2199
1740,1803
1422,1444
1558,1619
1422,1433
1682,1773
1920,1942
1651,1689
1505,1523
1442,1560
1451,1461
1947,1961
1968,1986
1973,1984
2298,2323
1967,2042
2127,2222
1690,1705
1570,1581
1993,2011
1888,1907
1540,1603
1962,1979
2324,2339
2325,2388
1571,1609
1561,1579
1540,1565
1562,1586
1567,1616
1604,1626
1579,1590
1821,1870
1634,1655
1850,1865
2756,2772
1687,1721
1617,1635
1642,1687
1586,1707
1666,1696
1592,1619
1605,1620
1686,1711
1652,1669
1676,1694
1640,1662
1723,1777
1620,1680
2388,2491
1984,1995
1682,1706
1707,1725
1683,1701
2004,2069
1710,1736
1897,1908
2089,2101
1697,1719
2049,2071
1662,1767
1877,1889
1680,1746
2832,2845
2068,2300
1709,1731
1907,1919
1725,1889
1771,1915
1791,1817
1742,1763
2120,2144
1670,1694
2099,2110
2115,2129
2097,2110
2110,2122
1739,1970
2073,2147
1909,1935
1684,1736
1702,1722
2101,2141
2104,2132
1709,1721
1779,1823
2105,2121
2115,2164
1716,1747
1782,1853
1726,1741
1729,1757
2133,2151
1821,1832
2417,2461
2148,2169
1833,1859
2142,2178
2030,2068
1754,1781
1859,1893
2172,2221
2178,2235
1801,1816
2207,2218
1854,1878
1846,1865
1817,1828
2187,2203
2181,2194
1781,1852
1802,1890
2184,2196
2063,2111
2123,2272
2093,2185
2223,2246
1867,1884
1843,1879
1917,2143
2198,2219
2204,2215
2114,2165
1882,1975
2237,2250
2218,2243
1889,1928
1886,1896
2169,2192
2195,2220
2194,2205
2153,2164
2214,2242
2180,2192
2261,2379
1898,1913
2303,2315
2210,2302
2156,2177
2244,2296
2136,2148
2116,2146
2124,2147
1873,1916
2062,2181
2025,2051
1878,1906
2099,2133
2269,2284
2109,2139
2338,2370
2153,2250
1942,1953
2053,2070
2292,2306
1947,2064
2308,2490
1934,1962
2373,2387
2090,2112
1930,1958
2105,2124
1912,1926
2051,2073
2048,2080
2126,2155
2035,2049
1988,2021
2388,2421
2006,2028
2036,2047
2124,2138
2117,2179
1964,1977
2129,2196
2140,2156
2393,2420
2029,2192
1978,2042
2013,2058
2165,2194
1984,1994
2002,2022
2421,2563
1973,2015
2439,2565
2313,2412
2267,2283
2251,2328
2066,2097
2179,2216
1954,2006
2100,2164
2060,2071
2185,2209
2313,2479
2343,2363
2267,2308
2088,2105
2198,2265
2202,2299
2150,2183
2157,2181
2194,2254
2165,2314
2106,2164
2168,2180
2186,2200
2488,2504
2184,2258
2355,2415
2333,2371
2182,2239
2482,2560
2012,2033
2414,2462
2138,2154
2372,2446
2041,2080
2150,2231
2241,2272
2214,2238
2206,2243
2271,2287
2367,2377
2274,2300
2210,2241
2207,2252
2387,2402
2482,2503
2272,2285
2250,2261
2203,2225
2481,2503
2237,2278
2248,2268
2224,2295
2516,2528
2439,2480
2269,2379
2254,2275
2493,2515
2414,2516
2264,2340
2517,2540
2544,2604
2517,2529
2482,2556
2102,2117
2391,2410
2104,2159
2268,2329
2436,2567
2313,2338
2361,2373
2146,2352
2177,2410
2353,2390
2341,2370
2354,2373
2371,2386
2521,2587
2303,2322
2414,2440
2329,2340
2207,2222
2416,2437
2224,2239
2336,2350
2244,2258
2288,2360
2326,2346
2329,2344
2300,2371
2301,2311
2458,2472
2464,2482
2475,2491
2263,2280
2365,2394
2567,2757
2484,2601
2352,2368
2164,2189
2608,2618
2168,2214
2395,2406
2335,2398
2414,2449
2371,2419
2434,2459
2588,2600
2449,2464
2424,2441
2376,2392
2466,2486
2445,2472
2431,2452
2366,2393
2500,2522
2453,2488
2354,2414
2395,2414
2385,2399
2630,2650
2496,2518
2406,2421
2367,2434
2377,2399
2520,2536
2586,2621
2327,2344
2336,2376
2538,2643
2338,2350
2233,2324
2659,2731
2419,2435
2352,2390
2436,2451
2575,2747
2414,2427
2364,2386
2505,2565
2431,2446
2518,2529
2423,2454
2587,2639
2538,2565
2567,2694
2382,2406
2467,2486
2598,2675
2407,2431
2450,2461
2619,2848
2707,2725
2469,2483
2462,2529
2485,2500
2462,2479
2450,2463
2414,2475
2633,2644
2376,2596
2481,2508
2493,2505
2367,2568
2514,2524
2642,2655
2477,2503
2546,2562
2533,2551
2471,2497
2564,2576
2516,2530
2585,2596
2572,2591
2326,2341
2539,2556
2552,2670
2580,2595
2499,2552
2510,2578
2458,2539
2505,2564
2522,2538
2553,2570
2542,2556
2571,2588
2534,2787
2368,2443
2563,2592
2722,2735
2651,2697
2508,2530
2859,2899
2554,2579
2454,2486
2616,2627
2409,2556
2487,2525
2503,2516
2634,2678
2628,2642
2744,2798
2432,2588
2519,2553
2574,2584
2662,2678
2601,2623
2586,2618
2526,2601
2578,2669
2584,2599
2592,2659
2600,2615
2560,2630
2580,2664
2620,2636
2775,2824
2637,2654
2549,2562
2438,2462
2659,2672
2603,2791
2463,2486
2671,2707
2497,2513
2708,2723
2708,2752
2635,2678
2714,2752
2484,2518
2834,2848
