340,3651
644,2679
472,1619
1017,2129
1409,2080
905,1537
987,1572
675,1220
921,1393
1492,1912
2706,3083
1167,1525
2263,2616
1932,2279
1615,1950
2107,2415
2246,2528
950,1208
944,1200
2652,2908
2375,2619
492,715
2119,2337
1600,1810
1339,1538
1258,1448
2142,2323
1666,1840
1484,1657
1417,1573
2732,2880
665,813
2427,2570
974,1114
1967,2105
1664,1802
2007,2145
2808,2942
1923,2057
1355,1488
1007,1138
2034,2162
970,1098
2693,2812
1581,1697
1908,2021
2886,2996
2006,2115
2735,2840
2072,2176
2503,2607
1773,1875
1956,2057
2161,2260
2037,2135
2773,2871
1551,1649
2320,2414
2236,2330
1580,1671
1311,1402
2319,2409
1001,1088
2142,2230
2225,2312
1276,1362
2815,2899
1352,1433
1861,1943
1567,1647
2880,2959
1153,1232
1900,1979
2694,2772
2345,2422
1753,1829
2851,2927
1862,1937
2585,2660
2436,2510
1070,1144
1999,2073
2439,2512
2546,2618
2329,2399
1931,2000
2195,2264
1155,1224
1805,1873
2222,2290
1874,1941
1027,1094
1956,2022
2476,2542
1884,1948
2713,2776
2093,2156
2722,2785
1768,1830
2897,2958
1644,1704
1083,1143
1581,1641
2936,2996
2640,2698
979,1037
1172,1230
2244,2301
1983,2040
2505,2563
1031,1087
3297,3353
527,583
2646,2701
1387,1441
2627,2681
1102,1156
2255,2309
801,854
2303,2355
1366,1418
1374,1427
1576,1629
1454,1506
1846,1898
1176,1226
1140,1190
1720,1770
1974,2024
3056,3106
1976,2025
2733,2782
390,439
2538,2587
1383,1431
2445,2491
1513,1560
1248,1294
1721,1767
1927,1973
1506,1552
1638,1683
2343,2388
1993,2038
2593,2638
1227,1272
2062,2107
2492,2536
1108,1152
1836,1879
1581,1624
877,920
1834,1877
1214,1256
2393,2436
2197,2239
1504,1547
2459,2501
1584,1626
3084,3126
881,922
1818,1859
2824,2865
1994,2035
2130,2171
1826,1867
1630,1671
1926,1966
721,761
2811,2851
2529,2569
1290,1330
1567,1606
1503,1543
2725,2764
1142,1181
2571,2610
1642,1681
2440,2478
1031,1069
1759,1797
1978,2016
2820,2858
2101,2138
2263,2300
653,691
928,965
1461,1498
2000,2037
1984,2022
2135,2171
2113,2149
1793,1830
2837,2873
1462,1498
1804,1840
1958,1994
2287,2323
982,1018
3340,3376
1877,1912
2031,2066
2455,2489
1752,1786
1218,1252
3036,3070
2264,2298
2144,2177
2248,2281
2114,2147
1692,1724
2223,2254
1001,1032
1270,1301
2046,2077
768,799
1803,1834
996,1027
1311,1342
2092,2123
1767,1798
2729,2759
2098,2128
2528,2558
1791,1821
1637,1667
2298,2327
593,623
2249,2278
2283,2311
1661,1689
2375,2404
849,878
1697,1725
1090,1118
1957,1985
2354,2382
2730,2758
2834,2862
2385,2413
1699,1727
1723,1751
2839,2866
2735,2763
1477,1505
2086,2113
2245,2272
2327,2354
2673,2700
1870,1896
1511,1538
1726,1753
2057,2083
1219,1245
2060,2086
1967,1993
2602,2628
2726,2752
1058,1084
403,429
2349,2375
1331,1356
920,946
2766,2792
1180,1205
1968,1993
1677,1702
1464,1489
1126,1151
1982,2007
985,1010
1688,1713
1348,1373
1474,1499
1450,1475
951,976
2588,2613
509,533
1856,1880
3036,3060
2340,2364
1346,1370
1852,1876
1443,1467
1851,1875
760,784
1724,1748
1282,1305
2985,3009
2861,2885
1074,1098
1044,1067
2163,2187
1522,1545
