1512,1826
1679,1701
34,3830
51,1625
66,1516
1956,2623
2330,2971
2217,2850
2478,3082
1053,1642
1240,1802
2184,2742
1715,2244
788,1309
707,1198
2139,2593
2471,2917
1779,2205
1883,2262
428,732
2050,2338
1099,1378
1518,1797
1618,1892
1272,1533
1401,1654
2627,2872
796,1040
1470,1706
1995,2230
2992,3213
885,1104
1951,2168
2801,3007
2308,2513
144,346
1751,1944
802,995
2232,2423
1794,1980
1311,1495
2525,2706
2515,2690
2637,2807
983,1149
2481,2644
59,220
2427,2583
1827,1983
422,570
1476,1623
1953,2099
71,211
2502,2641
2651,2789
1972,2109
2416,2550
1867,2001
2077,2211
2181,2313
1743,1875
2265,2396
1906,2037
2656,2785
2950,3078
2198,2323
1840,1963
3222,3344
2452,2574
1140,1260
1239,1358
2792,2911
1105,1224
1175,1291
1842,1958
1555,1669
2113,2227
1204,1317
2669,2781
1539,1650
2644,2753
2501,2609
2779,2887
2034,2141
2927,3031
1921,2023
1919,2022
2881,2983
2209,2310
2006,2106
1126,1226
982,1081
456,555
90,187
2968,3065
1663,1760
1870,1964
2053,2148
1689,1782
2212,2305
1681,1774
1556,1647
1609,1699
1796,1886
906,994
2681,2770
3421,3509
1608,1696
902,989
3398,3484
2153,2239
2611,2696
1926,2010
2200,2284
2184,2268
2846,2930
2219,2302
3318,3402
2360,2443
2828,2910
1905,1987
1607,1689
2250,2331
1278,1359
2394,2475
1711,1791
1636,1715
2345,2424
650,729
2432,2511
3325,3403
647,723
3157,3233
1875,1949
857,930
1729,1802
2205,2278
2526,2598
1453,1525
2698,2770
2535,2607
2474,2545
2109,2179
2765,2835
1053,1123
2462,2532
2472,2541
1165,1234
682,751
2096,2164
1817,1885
1218,1286
1253,1321
1006,1074
2498,2565
1176,1242
145,210
1951,2016
2399,2464
3006,3070
2239,2303
2811,2875
1172,1235
2547,2610
2525,2588
2004,2067
2121,2184
2481,2543
2169,2231
2740,2801
2660,2720
1244,1304
1256,1315
2341,2401
3326,3384
1481,1539
1756,1814
1929,1987
1290,1348
938,995
1549,1606
1471,1529
2465,2522
2907,2963
1313,1369
1171,1227
2830,2886
2073,2128
3032,3087
1930,1985
3425,3479
457,511
2391,2444
1400,1453
2799,2852
2154,2207
919,972
1336,1389
2826,2879
1585,1637
2120,2172
509,561
853,905
1857,1908
2237,2288
3001,3052
1388,1438
2720,2771
778,829
2059,2109
1949,1999
1237,1286
3041,3091
972,1021
520,569
1948,1997
890,938
365,413
2511,2559
1203,1250
2556,2603
1936,1984
3352,3399
2025,2072
2410,2457
2009,2055
2656,2702
2107,2153
890,936
657,702
1568,1612
2036,2080
2480,2524
926,970
162,206
953,996
539,581
2599,2642
1154,1196
1951,1993
3163,3205
2650,2692
2500,2542
2513,2554
1672,1713
1645,1685
645,685
588,627
1734,1773
1645,1684
2233,2272
2265,2303
2270,2308
3121,3160
2698,2736
1026,1064
435,472
1691,1729
929,966
1141,1178
1975,2012
3139,3176
1313,1349
2647,2683
2887,2923
1417,1452
1281,1316
1279,1314
2223,2258
3409,3444
2702,2737
1662,1696
1143,1178
2687,2721
1418,1452
2953,2987
1894,1928
529,563
2528,2562
1597,1631
1998,2031
2071,2104
3082,3115
1040,1074
1504,1538
2273,2307
2581,2614
1316,1350
1466,1499
1252,1285
1498,1531
1707,1740
2463,2496
1746,1779
2123,2155
3403,3435
1546,1578
2960,2993
2926,2958
1792,1824
3080,3112
1370,1402
1915,1947
1245,1277
742,774
3025,3057
1598,1630
1324,1356
1531,1563
2419,2451
2444,2475
1234,1265
636,667
1740,1771
1673,1704
1106,1136
1848,1878
2087,2118
2541,2571
2671,2701
2300,2330
1498,1527
1311,1340
2356,2386
1292,1321
1810,1839
1019,1048
625,654
2044,2073
2407,2436
2707,2735
2128,2156
2598,2626
1333,1361
725,753
1350,1378
1044,1072
1679,1707
2728,2756
2345,2373
2376,2403
1630,1658
2438,2466
301,328
2891,2919
2643,2670
1860,1888
442,469
2178,2206
1119,1145
2182,2209
1161,1187
1906,1933
2312,2338
517,544
1631,1658
2823,2849
2758,2784
1615,1641
2682,2708
2614,2640
1196,1222
3377,3402
916,941
1088,1113
2582,2607
2133,2158
2014,2039
2564,2589
2004,2029
2944,2969
2469,2493
276,301
3452,3477
