4110,4526
4303,4322
4438,4456
3514,3842
3575,3660
3543,3564
371,389
410,423
684,697
736,751
1159,1170
1297,1313
1424,1530
1847,1904
1447,1683
1779,1846
1843,1929
1491,1734
1477,1497
1478,1560
1735,1773
1700,1732
1680,1699
1638,1664
2021,2032
1569,1680
2040,2052
1745,1767
2061,2091
2080,2095
1688,1698
1554,1566
1738,1755
1568,1634
2083,2097
1554,1565
1556,1569
1565,1618
1625,1637
1791,1803
1654,1678
1606,1625
1643,1662
2153,2164
1719,1746
1680,1726
1772,1827
2389,2400
2406,2423
1692,1752
1917,1971
1865,1879
1888,1900
1902,1917
2446,2458
1935,1960
1965,1993
1800,1828
1740,1750
2483,2529
1796,1815
1744,1761
1995,2005
1832,1843
1763,1791
1857,1883
2315,2347
1815,1845
1983,2001
2138,2151
2253,2267
1841,1856
2635,2648
1866,1891
2225,2246
2610,2621
2636,2654
2669,2726
2312,2323
1945,1958
2063,2079
2336,2373
2827,2856
2758,2770
1999,2012
2869,2883
2960,2970
2309,2337
2338,2353
2529,2544
2573,2588
2401,2433
2839,2857
2524,2542
3379,3480
3253,3263
2851,2866
2961,3080
3429,3448
3450,3594
3475,3538
3548,3560
3909,3920
4711,4721
4771,4815
4477,4488
4490,4601
4516,4536
4631,4648
