2132,2265
1490,1705
1563,1592
1572,1596
1523,1981
1785,1802
1884,2014
1855,2018
910,1200
1666,1806
1359,1490
1433,1468
1805,2152
1909,1973
2091,2116
545,1584
764,1375
828,1373
1269,1334
342,1882
349,1825
761,1423
537,1359
541,1339
548,1343
697,980
367,1020
553,958
398,551
548,656
600,630
643,663
499,516
478,489
528,538
441,451
696,979
647,961
805,1652
641,964
568,765
586,2388
835,1060
803,962
1153,1248
595,637
812,847
953,968
985,999
1169,1181
1191,1202
658,668
715,875
846,864
652,817
680,893
989,1122
236,491
708,1399
1262,1406
1404,1630
1327,1749
1651,1666
1324,1597
1598,1755
1406,1551
1293,1443
1679,1871
1554,1906
1679,1743
1711,1752
1701,1717
1994,2208
1873,2105
1901,1921
2208,2388
2273,2285
1904,2086
1941,1957
2108,2265
2260,2388
2173,2343
2216,2277
1304,1321
1337,1425
1429,1464
1469,1519
1521,1625
1627,1652
1268,1349
1294,1329
1266,1323
1253,1268
1124,1136
1253,1264
1210,1265
910,987
976,990
963,978
975,988
942,954
962,981
966,984
927,951
68,84
37,94
963,976
569,587
1066,1134
895,920
1136,1156
917,928
135,150
960,974
1109,1170
955,972
630,709
1120,1131
621,633
219,233
248,260
1086,1097
813,827
695,807
604,626
1094,1107
1130,1191
811,832
601,611
1072,1094
343,361
281,292
312,327
260,280
1003,1063
564,599
910,964
1047,1068
981,1009
580,602
1064,1094
1179,1196
945,956
917,936
1070,1122
1044,1055
1019,1037
930,965
565,577
897,910
465,481
926,1000
1004,1017
1039,1155
878,910
542,555
1175,1193
542,556
950,982
1130,1140
964,1022
503,531
642,661
886,901
1118,1129
1137,1153
1035,1052
918,929
426,501
1095,1110
865,880
517,543
1173,1187
1076,1093
546,558
893,910
843,858
559,582
873,891
1180,1202
852,863
834,844
1093,1104
1090,1120
1,29
1205,1222
825,837
1095,1155
1082,1106
407,429
651,664
495,562
812,823
695,710
914,930
1179,1255
1097,1151
541,553
1122,1147
1102,1119
1860,1878
977,997
623,641
650,665
351,362
304,319
1867,1881
344,370
227,250
1125,1151
332,344
649,667
1120,1141
1140,1154
1164,1196
459,470
1165,1176
169,193
1565,1576
1131,1148
202,212
406,433
669,703
1167,1182
1577,1600
859,869
325,339
210,223
1415,1429
530,545
1186,1205
1397,1410
1382,1396
1345,1380
568,580
625,637
1585,1600
1183,1195
298,313
284,403
499,511
480,498
335,363
1316,1338
1196,1206
1537,1591
1208,1226
1737,1790
911,925
926,941
642,716
416,505
1526,1595
1221,1232
1052,1083
1263,1287
910,930
1045,1061
1223,1235
1257,1286
2002,2024
1228,1245
1253,1272
925,954
1063,1080
925,951
973,985
966,992
1481,1531
1982,2000
1264,1279
1250,1272
1643,1727
955,969
1264,1308
1086,1119
1266,1280
1539,1609
1269,1318
1494,1505
951,990
951,976
972,1028
1647,1694
1271,1292
1281,1327
1299,1313
1616,1673
1281,1331
1469,1486
1295,1314
1474,1542
1932,1946
1930,1942
997,1008
993,1043
1944,1955
1329,1402
1338,1354
1054,1082
1009,1024
1867,1931
1910,1929
