4896,5498
217,3907
1116,2885
916,2391
517,1436
415,1314
1639,2384
2074,2709
2398,2999
2110,2626
940,1446
1690,2184
1668,2147
2039,2484
1186,1593
2203,2586
2388,2768
1919,2282
1362,1684
3339,3660
803,1112
1815,2115
3107,3405
2153,2439
1157,1430
2290,2560
2690,2955
2068,2313
2444,2674
1724,1950
2376,2597
704,913
1707,1909
2172,2372
1707,1899
2071,2255
1153,1333
2755,2934
3426,3602
2588,2763
3310,3479
2320,2486
2824,2987
1269,1430
2325,2477
1228,1379
3205,3345
2981,3120
2070,2207
1433,1568
1064,1198
3188,3322
2464,2598
2658,2791
2669,2801
361,491
1384,1511
1800,1926
845,970
2331,2455
2688,2811
3572,3695
2535,2658
2126,2248
1108,1231
2173,2292
1379,1497
2575,2691
3262,3377
2669,2782
2255,2367
3289,3400
3256,3366
2386,2492
2632,2735
687,788
3185,3286
2404,2505
3442,3542
1768,1866
3638,3735
3007,3104
2597,2693
2571,2666
2558,2653
1328,1420
2521,2612
3157,3248
1393,1483
2027,2117
1991,2077
2521,2606
3433,3518
1124,1208
3211,3295
2201,2284
2255,2337
2458,2539
1441,1518
2025,2102
2987,3063
3342,3417
556,631
3127,3200
2839,2913
3327,3400
3297,3370
896,967
2419,2490
2413,2484
912,984
3329,3400
3414,3485
2404,2474
1281,1351
2386,2454
2595,2663
997,1064
3153,3220
1700,1766
2373,2439
1780,1844
2568,2631
1460,1523
3569,3631
792,852
3569,3629
1757,1817
2657,2716
3527,3586
3755,3814
577,636
2175,2233
2544,2602
3501,3558
2356,2413
2706,2763
2293,2348
1125,1179
1991,2044
2725,2778
2595,2648
1066,1118
2548,2600
3282,3333
2035,2086
2087,2138
2344,2395
2496,2546
1164,1215
2407,2457
1570,1618
2718,2766
2467,2515
2378,2426
2822,2870
1017,1065
2562,2609
1693,1741
1343,1390
2097,2143
1747,1794
834,880
2703,2749
964,1010
322,367
1146,1191
2021,2065
313,358
2792,2836
920,964
803,847
2838,2881
2240,2283
3189,3233
829,872
2802,2844
2702,2744
2036,2078
2822,2863
3619,3661
1389,1431
2237,2279
2279,2320
2759,2800
2370,2411
409,450
2559,2600
1496,1537
2188,2228
2687,2728
2674,2714
2022,2062
2344,2383
1188,1227
1437,1476
2583,2621
927,964
2704,2741
2165,2202
713,750
423,460
3468,3505
1973,2010
1828,1864
3499,3535
3100,3136
2763,2799
3125,3161
1627,1662
1949,1984
2222,2257
527,562
3160,3195
2408,2442
2178,2212
1730,1765
1173,1208
3552,3586
3266,3300
2480,2513
2574,2606
2737,2770
3123,3156
2986,3018
2206,2238
1382,1414
2185,2216
1882,1914
1865,1897
1972,2004
773,805
950,981
2368,2399
2816,2847
3152,3183
2991,3022
1438,1468
1976,2006
1923,1953
2514,2544
793,823
3148,3177
1471,1500
1268,1298
2515,2544
2582,2611
1569,1598
3164,3192
3707,3736
2115,2144
2052,2080
2637,2665
2513,2541
